CHEMBL61203.mol2,[O-]c1[c][c][c]c2[c][c]c([C]=[C]c3[c][c][c][c][c]3)nc12
CHEMBL64744.mol2,O=c1oc2[c][c][c][c]c2c([O-])c1-c1[c][c][c][c][c]1
CHEMBL209453.mol2,[C]c1[c]c([O-])nc(S[C]C(=O)c2[c][c]c([O-])c([O-])[c]2)n1
CHEMBL64213.mol2,O=c1c([C](c2[c][c]c3c([c]2)O[C]O3)c2c([O-])oc3[c][c][c][c]c3c2=O)c([O-])oc2[c][c][c][c]c12
CHEMBL16326.mol2,O=C([O-])C(=O)[C]=C([O-])c1[c][c][c][c][c]1
CHEMBL18927.mol2,O=C([O-])C(=O)[C]C(=O)c1[c][c][c]c(O[C]c2[c][c][c][c][c]2)[c]1
CHEMBL37541.mol2,[C]c1[c]c(SC2=C([O-])OC([C][C]c3[c][c]c([O-])[c][c]3)([C]3[C][C][C][C]3)[C]C2=O)c(C([C])([C])[C])[c]c1[N-2]
CHEMBL19332.mol2,O=C([O-])C(=O)[C]C(=O)c1[c][c][c][c][c]1
